Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,FRS 1,462.562500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,Compatible con Motorola Talkabout,,,,
1,FRS 2,462.587500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,Compatible con Motorola Talkabout,,,,
2,FRS 3,462.612500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,Compatible con Motorola Talkabout,,,,
3,FRS 4,462.637500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,Compatible con Motorola Talkabout,,,,
4,FRS 5,462.662500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,Compatible con Motorola Talkabout,,,,
5,FRS 6,462.687500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,Compatible con Motorola Talkabout,,,,
6,FRS 7,462.712500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,Compatible con Motorola Talkabout,,,,
7,FRS 8,467.562500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,Compatible con Motorola Talkabout,,,,
8,FRS 9,467.587500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,Compatible con Motorola Talkabout,,,,
9,FRS 10,467.612500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,Compatible con Motorola Talkabout,,,,
10,FRS 11,467.637500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,Compatible con Motorola Talkabout,,,,
11,FRS 12,467.662500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,Compatible con Motorola Talkabout,,,,
12,FRS 13,467.687500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,Compatible con Motorola Talkabout,,,,
13,FRS 14,467.712500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,Compatible con Motorola Talkabout,,,,
14,FRS 15,462.550000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,Compatible con Motorola Talkabout,,,,
15,FRS 16,462.575000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,Compatible con Motorola Talkabout,,,,
16,FRS 17,462.600000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,Compatible con Motorola Talkabout,,,,
17,FRS 18,462.625000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,Compatible con Motorola Talkabout,,,,
18,FRS 19,462.650000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,Compatible con Motorola Talkabout,,,,
19,FRS 20,462.675000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,Compatible con Motorola Talkabout,,,,
20,FRS 21,462.700000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,Compatible con Motorola Talkabout,,,,
21,FRS 22,462.725000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,Compatible con Motorola Talkabout,,,,
